iter	RMSE
0	2217751.699
1	2150872.582
2	2091025.088
3	2039120.394
4	1994200.801
5	1952868.758
6	1916451.868
7	1884486.143
8	1856653.309
9	1833384.088
10	1811318.186
11	1792512.85
12	1776827.166
13	1762408.573
14	1749625.291
15	1737754.986
16	1728547.215
17	1720146.089
18	1712179.778
19	1707228.045
20	1702411.646
21	1697531.744
22	1693488.492
23	1689520.091
24	1686454.775
25	1683958.002
26	1681310.571
27	1678951.289
28	1676250.102
29	1674150.574
30	1672698.151
31	1671160.045
32	1670126.706
33	1668848.579
34	1668239.357
35	1667147.796
36	1666390.822
37	1665796.062
38	1664821.406
39	1664200.687
40	1663786.176
41	1663234.668
42	1662732.721
43	1662372.683
44	1662066.738
45	1661743.787
46	1661329.026
47	1661149.577
48	1660674.782
49	1660264.153
50	1659737.412
51	1659464.185
52	1659235.235
53	1659047.35
54	1658872.778
55	1658615.375
56	1658412.578
57	1658193.546
58	1657953.492
59	1657858.908
60	1657687.712
61	1657537.697
62	1657425.699
63	1657079.426
64	1656892.892
65	1656731.697
66	1656517.768
67	1656345.668
68	1656238.677
69	1655840.93
70	1655704.836
71	1655511.159
72	1655270.163
73	1655114.783
74	1654945.474
75	1654818
76	1654620.312
77	1654340.08
78	1654058.42
79	1653830.886
80	1653704.29
81	1653454.223
82	1653331.136
83	1653207.852
84	1653050.21
85	1652965.169
86	1652880.577
87	1652734.029
88	1652610.412
89	1652262.796
90	1652142.401
91	1652123.82
92	1652085.762
93	1651900.219
94	1651808.507
95	1651678.577
96	1651596.966
97	1651437.576
98	1651254.79
99	1651049.541
100	1650893.394
101	1650795.355
102	1650734.3
103	1650607.54
104	1650529.287
105	1650468.177
106	1650238.61
107	1650122.505
108	1650011.304
109	1649817.519
110	1649764.238
111	1649683.126
112	1649556.441
113	1649479.421
114	1649457.363
115	1649390.797
116	1649298.799
117	1649198.715
118	1649131.622
119	1649017.585
120	1648862.927
121	1648751.646
122	1648715.135
123	1648588.178
124	1648528.169
125	1648423.84
126	1648387.895
127	1648330.945
128	1648262.308
129	1648136.113
130	1648092.302
131	1647984.567
132	1647892.907
133	1647844.037
134	1647708.328
135	1647571.089
136	1647356.617
137	1647211.933
138	1647116.922
139	1647040.524
140	1646919.066
141	1646688.369
142	1646576.547
143	1646394.331
144	1646266.925
145	1646191.965
146	1646004.608
147	1645946.468
148	1645884.025
149	1645756.373
150	1645652.619
151	1645503.792
152	1645368.538
153	1645252.947
154	1645205.236
155	1644992.556
156	1644848.399
157	1644727.732
158	1644575.646
159	1644425.02
160	1644342.064
161	1644249.949
162	1644133.498
163	1644005.289
164	1643911.416
165	1643810.464
166	1643735.999
167	1643600.993
168	1643483.565
169	1643376.647
170	1643256.443
171	1643147.306
172	1643044.109
173	1642913.639
174	1642676.863
175	1642572.103
176	1642464.475
177	1642386.408
178	1642230.636
179	1642097.893
180	1642001.94
181	1641904.426
182	1641816.815
183	1641670.174
184	1641577.801
185	1641467.758
186	1641335.094
187	1641214.208
188	1641147.8
